Devastating-Smash-Su	Devastating Smash (Su)	<p>Whenever you attack a construct or object, treat its hardness (or damage reduction in the case of constructs) as 10 less than normal. Add your tier to damage rolls against constructs and objects. If you expend one use of mythic power as part of an attack against a construct or object, you treat its hardness (or damage reduction) as 0 and add double your tier to damage instead.</p>
Endless-Hatred-Ex	Endless Hatred (Ex)	<p>You can expend one use of mythic power as a free action to increase all of your favored enemy bonuses by 2 for 1 minute. When you use this ability, for the rest of your turn any attacks you make against a favored enemy bypass all damage reduction. You must have the favored enemy class feature to select this ability.</p>
Ever-Ready-Ex	Ever Ready (Ex)	<p>Whenever you make an attack of opportunity, you gain a bonus on the attack roll and damage roll equal to your mythic tier. You can make attacks of opportunity while flat-footed, even if you don't have the Combat Reflexes feat. At 3rd, 6th, and 9th tier, the number of attacks of opportunity you can make each round increases by one.</p>
Flash-of-Rage-Ex	Flash of Rage (Ex)	<p>Whenever you or an ally within 30 feet is struck by a critical hit, you can enter a rage as a free action on your next turn. This rage functions as the barbarian class feature, and lasts a number of rounds equal to your tier. You aren't fatigued after this rage. If you have the rage class feature, these rounds don't count toward your daily uses of that ability, you can use abilities that require patience and concentration while in this rage (although you are still restricted when using your rage class feature normally), and these rounds of rage don't count toward the total number of rounds of rage used when determining how long you are fatigued. Rounds of rage granted by this ability don't stack, but the duration is reset if another critical hit occurs.</p>
Impossible-Speed-Ex	Impossible Speed (Ex)	<p>Your base land speed increases by 30 feet. In addition, if you expend one use of mythic power, for 1 hour your base land speed increases by 10 feet per mythic tier.</p>
Imprinting-Hand-Su	Imprinting Hand (Su)	<p>By touching a foe, you can gain knowledge about it, including its weaknesses. To use this ability, you must first successfully hit a foe with an unarmed strike, natural weapon, or melee touch attack to make contact, then use this ability is a free action. As long as the target remains within 1 mile of you, you always know the direction and approximate distance to it. If the foe has any weaknesses or vulnerabilities (including a mythic flaw), you immediately know this information. You can maintain this connection with only one creature at a time; if you use this ability on another creature, your connection with the previous creature is lost.</p>
Lesson-Learned-Ex	Lesson Learned (Ex)	<p>Whenever you fail a saving throw against a supernatural or spell-like ability, you gain a +5 bonus on all further saving throws against that ability, including subsequent saves against an ongoing effect, or against the same effect produced by a different source or creature. This bonus lasts for a number of minutes equal to your tier. For example, if you fail a save against a demon's <i>fireball</i> spell-like ability, you gain this bonus against a <i>fireball</i> spell-like ability from any creature; if you fail a save against a blue dragon's electricity breath weapon, you gain this bonus against all blue dragon electricity breath weapons, but not against a black dragon's acid breath weapon or a gorgon's petrification breath weapon. If you fail another saving throw against the same ability, the duration of lesson learned resets but the bonus doesn't stack with itself.</p>
Limitless-Range-Ex	Limitless Range (Ex)	<p>Multiply the range increment on all of your ranged and thrown weapons by 5 feet, and these weapons no longer have a maximum range increment for you. You can throw any melee weapon as if it had a range increment of 20 feet--;this increment isn't multiplied by 5, but the weapon doesn't have a maximum range increment.</p>
Meat-Shield-Ex	Meat Shield (Ex)	<p>You can use a creature you're grappling to protect you from harm. If you're grappling a creature and are attacked with a melee or ranged attack, as an immediate action you can attempt a grapple combat maneuver check against your grappled opponent. If you succeed, the incoming attack targets your grappled opponent instead of you. If you fail, the grappled opponent breaks free from the grapple and the incoming attack targets you as normal.</p>
Mounted-Maniac-Ex	Mounted Maniac (Ex)	<p>Your unstoppable momentum while mounted is terrifying. Whenever you charge a creature while mounted, you can attempt an Intimidate check to demoralize all enemies within 30 feet of your target, adding your tier to the result of the check. If you expend one use of mythic power, any creature demoralized by this ability is frightened instead of shaken. The duration of this condition is dependent upon your check, as noted in the Intimidate skill.</p>
Mythic-Ki-Su	Mythic Ki (Su)	<p>As a free action, you can expend one use of mythic power to regain 2 points in your ki pool (up to your maximum). For the rest of your turn, your successful attacks with unarmed strikes or monk weapons bypass all damage reduction. You must have the ki pool class feature to select this ability.</p>
Mythic-Rage-Su	Mythic Rage (Su)	<p>As a free action, you can expend one use of mythic power to regain 1/4 your maximum number of rage rounds (minimum 4 rounds). For the rest of your turn, your successful attacks while raging bypass all damage reduction. You must have the rage class feature to select this ability.</p>
Mythic-Smite-Su	Mythic Smite (Su)	<p>As a free action, you can expend one use of mythic power to regain one use of your smite evil ability. For the rest of your turn, your successful attacks against evil creatures bypass all damage reduction. You must have the smite evil class feature to select this ability.</p>
Mythic-Weapon-Training-Ex	Mythic Weapon Training (Ex)	<p>Select one group of weapons from the list of fighter weapon groups. You gain proficiency with all weapons in this group. If you possess a feat such as Weapon Focus that requires you to choose a kind of weapon, you can instead apply the effects of that feat to all weapons from that weapon group. When wielding a weapon from that group, add a number equal to your tier to your CMD against disarm and sunder attempts made against that weapon. You can select this ability more than once. Each time you select this ability, it applies to a different weapon group.</p>
Punishing-Blow-Ex	Punishing Blow (Ex)	<p>Any opponent you hit with a melee or ranged attack loses the benefits of regeneration and fast healing for 1 round. In addition, if you score a critical hit against the target, it loses the benefit of its damage reduction for 1 round. A creature whose regeneration can't be suppressed or ignored (such as the tarrasque) is immune to this effect.</p>
Sunder-Storm-Ex	Sunder Storm (Ex)	<p>As a full-round action, you can expend one use of mythic power to attempt a sunder combat maneuver against each opponent within reach, selecting one item on each opponent to sunder. The damage from these sunder attempts ignores item hardness. If you destroy an item in this way, you drive the shattered pieces of the item into the flesh of its wearer or wielder, dealing 1d6 + a number of points equal to your tier of piercing damage. This damage bypasses all damage reduction.</p>
Swimming-Master-Ex	Swimming Master (Ex)	<p>You gain a swim speed equal to your base land speed and a +8 racial bonus on Swim checks. If you already have a swim speed, your base swim speed increases by 30 feet. You can hold your breath for a number of minutes equal to 10 x your Constitution score, but afterward you must succeed at checks as normal to avoid drowning. If you expend one use of mythic power, for 1 hour your base swim speed increases by 10 feet per mythic tier.</p>
Tear-Apart-Ex	Tear Apart (Ex)	<p>You can attempt to rend the armor of your opponent, reducing its effectiveness. Using this ability is a standard action that requires you to attempt a sunder combat maneuver check against your foe. If the check is successful, reduce the target's armor bonus, natural armor bonus, or shield bonus (your choice) by half your tier (minimum 1). If the creature has an enhancement bonus to the bonus you chose, reduce the normal bonus first, then apply any leftover reduction to the enhancement bonus. You can't reduce the bonus below 0. Armor and shields damaged in this way can be repaired as if they had the broken condition. Natural armor regains the lost bonus at the rate of 1 point per day. <i>Lesser restoration</i> restores 1d4 points of natural armor bonus, and <i>restoration</i> restores all of it.</p>
Titan-s-Bane-Ex	Titan's Bane (Ex)	<p>You can move through the space of any creature two or more size categories larger than you without provoking attacks of opportunity, and you can share such a creature's space. When sharing a larger opponent's space, you gain cover against all melee and ranged attacks made by the creature, and it is considered flat-footed for the purposes of any melee or ranged attacks you make against it.</p>
Uncanny-Grapple-Ex	Uncanny Grapple (Ex)	<p>Upon making a successful grapple combat maneuver check against a creature you are grappling, you can perform one of the following actions: throw, crush, or swing. For a throw, you can throw the target of your grapple up to 10 feet per tier; if the creature strikes a solid object before reaching this distance, it takes 1d6 points of damage per 10 feet of the remaining throwing distance and lands prone. For a crush, you deal 1d6 points of nonlethal damage per tier. For a swing, you can use the target as a weapon against another creature, treating the grappled creature as a two-handed weapon. If you succeed at a melee attack against an opponent adjacent to the target, both that opponent and the grappled creature take 1d8 points of bludgeoning damage from this attack + 1-1/2 x your Strength modifier.</p>
Wall-Smasher-Ex	Wall Smasher (Ex)	<p>Whenever you succeed at a ki throw or a bull rush or reposition combat maneuver, you can smash your opponent against a wall (or suitable large obstacle) within the range you could move the target into as a result of the maneuver, dealing unarmed strike damage to your opponent and the wall. If you expend one use of mythic power when you use this ability, this damage ignores the hardness of the wall. If the damage destroys the wall, you move the opponent into the space beyond the wall and it immediately falls prone.</p>
Destroyer-Ex	Destroyer (Ex)	<p>Whenever you attack an object, including a held or worn item, you ignore any Hardness the object might possess. This includes spell effects such as <i>wall of force</i>, but not objects that are also creatures, such as animated objects.</p>
Elemental-Fury-Su	Elemental Fury (Su)	<p>You can cause your body to erupt with elemental power. As a move action, you can expend one use of mythic power and pick one of the following energy types: acid, cold, electricity, or fire. For a number of rounds equal to your tier, you are immune to this energy type and all of your melee and ranged attacks deal an extra 1d6 points of damage of this energy type. On a critical hit, this extra energy damage increases to 3d6.</p>
Fleet-Warrior-Ex	Fleet Warrior (Ex)	<p>When making a full attack, you can move up to your speed either before or after your attacks. This movement provokes attacks of opportunity as normal.</p>
Incredible-Parry-Ex	Incredible Parry (Ex)	<p>You gain the duelist's parry ability (<i>Core Rulebook</i> 383), and may expend one use of mythic power to add your tier to the parry roll. If you already have the duelist's parry ability, you can use incredible parry and duelist's parry in the same round, electing to not make two attacks and instead parrying up to two attacks.</p>
Maneuver-Expert-Ex	Maneuver Expert (Ex)	<p>You do not provoke any attacks of opportunity when you attempt a combat maneuver check. As a free action, you can expend one use of your mythic power whenever you attempt a combat maneuver check to gain the benefits of the Improved and Greater feats tied to that maneuver. You must decide to use this ability before making the roll.</p>
Maximized-Critical-Ex	Maximized Critical (Ex)	<p>Whenever you score a critical hit, the weapon's damage result is always the maximum possible amount you could roll. This doesn't affect other dice added to the damage, such as from sneak attack or the <i>flaming</i> weapon special ability. For example, if you score a critical hit with a longsword (1d8/x2), treat the sword's damage dice as if you had rolled 8 both times, then add any other damage bonuses that you would normally apply to a critical hit.</p>
Penetrating-Damage-Su	Penetrating Damage (Su)	<p>Whenever you deal damage to a creature with damage reduction, you can overcome one of the following types of damage reduction: chaotic, cold iron, evil, good, lawful, magic, or silver. You can change this type with each attack. This ability only aids in overcoming one type of damage reduction; if the creature's damage reduction requires a combination of different types of damage, you must be able to overcome the other types using other means.</p>
Precision-Ex	Precision (Ex)	<p>Your deadly attacks are far more likely to hit their target than those of others. Whenever you make a full attack, your attack bonus on the additional attacks you gain by having a high base attack bonus is 5 higher. This ability can't give any of these attacks a higher attack bonus than your base attack bonus. For example, a 12th-level fighter normally has a base attack bonus of +12/+7/+2; with this ability, his base attack bonus is +12/+12/+7. This ability doesn't reduce the penalties from two-weapon fighting or other situational penalties on attack rolls (such as Combat Expertise, Power Attack, fighting defensively, or harmful conditions). You can select this ability more than once. Each time you select it, the attack bonus on additional attacks increases by another 5.</p>
Titan-s-Rage-Su	Titan's Rage (Su)	<p>You can cause yourself to grow in size, becoming a terrifying sight to behold. As a standard action (or a free action if you have the rage class feature), you can expend one use of mythic power to increase your size to one size category larger. This grants you a +4 size bonus to Strength and Constitution, imposes a -2 penalty to Dexterity, grants you a +2 natural armor bonus, increases your natural reach by 5 feet, and increases your weapon damage based on the new size of your weapons. This size increase lasts a number of rounds equal to your tier, and doesn't stack with any other spell or ability that alters your size.</p>
To-the-Death-Ex	To the Death (Ex)	<p>You can shrug off wounds that others would find devastating. When below 0 hit points, you don't fall unconscious, but are instead staggered. You lose 1 hit point at the end of each turn when you take a standard action while staggered in this way.</p>
Unstoppable-Shot-Ex	Unstoppable Shot (Ex)	<p>You can use a ranged or thrown weapon to make a single powerful shot that shoots through all creatures in a line. As a standard action, make a single ranged attack roll and resolve the attack against all targets in a straight line up to the maximum range of your weapon, stopping at any barrier the attack couldn't penetrate. Roll damage once and apply that damage to each creature hit by the attack. Before making the attack roll, you can expend one use of mythic power to bend the path of the attack up to two times as it strikes targets or objects. Each deflection can alter the line of the attack up to 90 degrees, allowing you to shoot around corners or cover.</p>
Critical-Master-Ex	Critical Master (Ex)	<p>Whenever you roll a critical threat against a non-mythic creature, you automatically confirm the critical hit and deal the maximum amount of damage to that creature. This ability can be selected twice. The second time it is selected, it also applies to mythic creatures.</p>
Fistful-of-Daggers-Ex	Fistful of Daggers (Ex)	<p>When you could make a full attack with thrown weapons, you can instead make a single attack roll at your highest attack bonus and apply the result to any number of creatures in a 30-foot cone. Roll damage once and deal it to all creatures hit by the attack. This attack can't deal precision damage. You must throw one weapon at each target. Use the bonuses to attack and damage from the least powerful weapon thrown (for example, if you have one +2 dagger and 20 masterwork daggers, the attacks are treated as masterwork daggers). Apply any effects of concealment for individual targets as normal. If the attack roll is a critical threat, choose one target you hit and attempt to confirm the critical against that target.</p>
Perfect-Strike-Ex	Perfect Strike (Ex)	<p>You can expend one use of mythic power as a standard action to deliver a perfect strike. A perfect strike attack is made using your full base attack bonus. If the attack hits, it deals double the normal amount of damage, and this damage bypasses all damage reduction and hardness. If the perfect strike is a critical hit, increase the critical multiplier for the attack by 1 (so a x2 weapon deals x3 damage). Damage that isn't multiplied on a critical hit isn't multiplied on a perfect strike. Perfect strike can be used in conjunction with any champion's strike if you expend uses of mythic power for each ability separately.</p>
Shatter-Spells-Su	Shatter Spells (Su)	<p>You can destroy a magical effect (whether it's on a creature or an independent effect such as a <i>wall of fire</i>) by attacking it with an unarmed strike or natural weapon. You must succeed at a melee touch attack against the creature or effect and expend one use of mythic power. If this attack hits, the creature or effect is subject to targeted <i>greater dispel magic</i>, using double your tier as your caster level. If you dispel an effect, you suffer no harmful effects from touching it. If the effect is on a creature, the creature takes 1 point of damage per spell level of each effect dispelled.</p>
Sweeping-Strike-Su	Sweeping Strike (Su)	<p>Even when you're swarmed, your foes are not safe from danger. Whenever you could make a full attack, you may instead make a single attack at your highest attack bonus and apply the results to all opponents within your reach. Roll damage once and apply it to all opponents hit by the attack. This attack can't deal precision damage. If the attack roll is a critical threat, choose one target you hit and attempt to confirm the critical against that target.</p>
