Additional-Trick-Ex	Additional Trick (Ex)	<p>You learn an additional trickster attack ability. You can select this ability twice.</p>
Perfect-Lie-Ex	Perfect Lie (Ex)	<p>When telling a lie, you can expend one use of mythic power to make the lie indiscernible from the truth by both Sense Motive and magic. Obvious proof of your falsehood still reveals the lie for what it is, but in absence of proof, those who hear your lie believe it.</p>
Perfect-Mimic-Su	Perfect Mimic (Su)	<p>You can use the Disguise skill as a full-round action. When you attempt to impersonate a specific person, those familiar with the individual receive only half the normal bonus from familiarity to see through your disguise. If you expend one use of mythic power when creating a disguise to impersonate an individual, you can read that creature's mind as if using <i>detect thoughts</i> with a range of 1 mile. This allows you to better mimic the individual, granting you a further +10 bonus on opposed Disguise skill checks. The target of your impersonation receives a Will saving throw (DC 10 + your tier + your Charisma modifier) to negate the <i>detect thoughts</i> aspect of this ability.</p>
Sardonic-Wit-Su	Sardonic Wit (Su)	<p>You know exactly when to lighten the mood and help shake off the doldrums. As a move action, you can expend one use of mythic power to remove a single mind-affecting effect from one creature within 30 feet. This ability doesn't work on effects with an instantaneous or permanent duration.</p>
Vanishing-Move-Su	Vanishing Move (Su)	<p>When you wish to not be seen, you aren't. As a swift action, you can make yourself invisible until the end of your turn. This effect ends if you do anything other than move. If you expend one use of mythic power when using this ability, it instead acts as <i>greater invisibility</i> using double your tier as your caster level.</p>
Class-Mimic-Su	Class Mimic (Su)	<p>The abilities of your allies are available to you with a touch. As a standard action, you can expend one use of mythic power and touch a willing creature to copy one of that creature's class features. You gain the use of this class feature for 10 minutes per tier, using the level of the creature touched as your level for any effects based on level. You can't copy an ability that has a limited number of uses per day (such as rage, smite evil, or spellcasting) or an ability that involves a companion (such as eidolon, hunter's bond, or nature bond). You can have only one use of this ability in effect at one time. If you use this ability again, any previous use immediately ends. You can't copy the same ability more than once per day.</p>
Enduring-Elixir-Su	Enduring Elixir (Su)	<p>Whenever you drink an elixir, extract, or potion with a duration of 10 minutes per level or longer, you can change its duration to 1 day. You can have this ability in effect on only one elixir, extract, or potion at a time. Using it on a second one causes the duration of the first to revert to normal--;and to end immediately if the normal duration would have expired. If you're at least 9th tier, you can select this ability a second time to have it work on extracts and potions with a duration of 1 minute or longer.</p>
Precision-Critical-Ex	Precision Critical (Ex)	<p>Whenever you score a critical hit, double any extra precision damage dice, such as sneak attack damage. These dice are only doubled, not multiplied by the weapon's critical modifier.</p>
Slayer-s-Cyclone-Ex	Slayer's Cyclone (Ex)	<p>When you spot a breach in an enemy's defenses, you make attacks with a lethal blend of speed and precision. As a full-round action, you can make a single melee attack at your highest base attack bonus. If you hit and the target is flat-footed, deal damage as normal. You can then move and make another attack. You may continue this process until you miss, attack an opponent that isn't flat-footed, or attack an opponent you already hit this round. You can't move more than double your speed in this way in 1 round.</p>
Steal-Power-Su	Steal Power (Su)	<p>By attempting a melee touch attack as a standard action, you can try to steal mythic power from another creature. The target must have at least one use of mythic power available. If the attack hits, attempt an opposed d20 roll against the target, adding your tier. If your total exceeds that of the target, the target loses one use of mythic power and you gain one use. You can use this ability on a given creature only once per day.</p>
Unending-Performance-Su	Unending Performance (Su)	<p>You can imbue an ally with power that lingers for a full day. Whenever you use a spell, bardic performance, or another class feature to grant a morale or competence bonus, you can designate any one creature affected by this bonus. The designated creature keeps this bonus for up to 24 hours. You can have only one creature designated in this way at a time. If you designate a new creature, the bonus immediately ends for the previous target. The creature you designate must be one of the targets when you cast the spell, start the performance, or use the class feature.</p>
