Beast Shape (all)	<h>Mythic Enhanced</h><p>Each <i>mythic beast shape</i> spell must be learned individually, and you must know the respective non-mythic <i>beast shape</i> spell to learn its mythic version. You don't have to learn them in order and are not required to know a lower-level <i>mythic beast shape</i> spell before you learn a higher-level one (for example, you can learn <i>mythic beast shape II </i>if you know <i>beast shape II</i>, even if you don't know <i>mythic beast shape I</i>). Each <i>mythic beast shape</i> spell adds the following benefits to its respective non-mythic version.</p><p>The spell's bonuses to ability scores increase by 2, the natural armor bonus increases by 1, and the ability score penalties decrease by 2 (minimum penalty of 0). Choose one natural attack type the animal form has, such as bite or claws. The critical multiplier for this attack type increases by 1 (maximum x4).</p><p><h>Mythic Augmented (2nd)</h>: If you expend two uses of mythic power, the ability score bonuses increase by an additional 2. During each casting of the spell, a number of times equal to your tier, you can act as if you had the Natural Spell feat for 1 round. For example, if you're 2nd tier, you can use the Natural Spell feat for 2 rounds per casting of <i>mythic beast shape</i>.</p>
Black Mark	<h>Mythic Enhanced</h><p>Any time the cursed creature travels on or in the water more than 1 mile from shore, each day it (or the vessel it's on) is attacked by one or more aquatic or water monsters, as if summoned by <i>summon nature's ally VII</i> (caster level 13th).</p>
Black Tentacles	<h>Mythic Enhanced</h><p>Add your tier to the base attack bonus of the tentacles. The tentacles also deal an additional 2d6 points of acid damage with a successful grapple.</p><p><h>Mythic Augmented (6th)</h>: If you expend two uses of mythic power, the spell creates twice as many tentacles in the same area, meaning each creature in the area is attacked twice per round. The tentacles can grapple creatures that are immune to grappling if that immunity is from a non-mythic source, but combat maneuver checks to grapple such creatures take a -5 penalty.</p>
Blade Barrier	<h>Mythic Enhanced</h><p>You may cast this spell as an immediate action. The barrier's damage increases to 1d8 per caster level (maximum 20d8).</p><h>Mythic Augmented (3rd)</h><p>: If you expend two uses of mythic power, you can spend a move action to move the barrier up to 10 feet in any direction. The shape (flat or ring) and orientation (vertical or horizontal) of the wall must remain the same. If you move the barrier through a creature's space, it can attempt a saving throw to avoid the wall, as if you had created it where the creature is.</p>
Blasphemy	<h>Mythic Enhanced</h><p>When determining the spell's effect on non-mythic creatures, add your tier to your caster level. Nonevil creatures that fail the save take a -4 penalty on attack rolls and saving throws, and their spell resistance decreases by 5 for as long as the spell's other effects last.</p>
Bless	<h>Mythic Enhanced</h><p>The +1 morale bonus applies on attack rolls, weapon damage rolls, and all saving throws. Once during the spell's duration, an affected creature can roll an attack roll or saving throw twice and take the higher result. The target must decide to use this ability before the first roll is attempted.</p>
Blessing of Fervor	<h>Mythic Enhanced</h><p>Affected creatures can choose two of the spell's bonuses each round rather than one.</p>
Blinding Ray	<h>Mythic Enhanced</h><p>On a successful saving throw, the target is dazzled for 1 round. On a failed saving throw, the target is instead blinded for 1d4 rounds.</p><p>A target with light blindness, light sensitivity, or any other vulnerability to light is instead blinded for 1d4 rounds on a successful saving throw and permanently blinded on a failed saving throw.</p>
Blindness/Deafness	<h>Mythic Enhanced</h><p>You can cause the target to be both blinded and deafened at the same time. The target must attempt a saving throw against each effect separately.</p>
Blink	<h>Mythic Enhanced</h><p>You may spend a move action to remain corporeal or incorporeal until the end of your turn (you automatically resume blinking at the end of your turn).</p><h>Mythic Augmented (3rd)</h><p>: If you expend two uses of mythic power, you can spend either a swift action or a move action to remain corporeal or incorporeal until the end of your turn.</p>
Blistering Invective	<h>Mythic Enhanced</h><p>Enemies that are demoralized by your Intimidate check take 2d8 points of fire damage and catch fire (no saving throw). Any Reflex save attempted to extinguish the flames automatically fails as long as the creature remains demoralized by your Intimidate check.</p><p><h>Mythic Augmented (5th)</h>: If you expend two uses of mythic power, the spell doesn't have the language-dependent descriptor and you don't take a penalty on your Intimidate check to demoralize creatures that are larger than you.</p>
Blood Crow Strike	<h>Mythic Enhanced</h><p>Unarmed strikes attempted with this spell are treated as if you had the Improved Critical (unarmed strike) feat. Use your tier plus your monk level (if any) when determining your unarmed strike damage for this spell. Fire damage from this spell bypasses fire resistance.</p>
Boiling Blood	<h>Mythic Enhanced</h><p>A target that fails its save takes 1d3 points of fire damage per round. If a target has the orc subtype, it also gains fire resistance 5.</p><p><h>Mythic Augmented</h>: If you expend two uses of mythic power, you can affect allies as though they had the orc subtype.</p>
Break	<h>Mythic Enhanced</h><p>You can target up to 1 Medium or smaller object per caster level.</p><h>Mythic Augmented (3rd)</h><p>: If you expend two uses of mythic power, target objects gain the broken condition on a successful save and are destroyed on a failed save. This doesn't affect mythic objects or objects held or carried by mythic creatures.</p>
Break Enchantment	<h>Mythic Enhanced</h><p>Against non-mythic effects, the spell automatically succeeds without requiring a caster level check. Against mythic effects, add your tier to your caster level check. The maximum level of spell this spell can remove is 5 + half your tier.</p><p><h>Mythic Augmented (7th)</h>: If you expend two uses of mythic power, you can apply a removed enchantment, transmutation, or curse to the creature that originally cast it. The creature must be a valid target of the spell and on the same plane as you, and it gets a saving throw at the effect's original DC.</p>
Breath of Life	<h>Mythic Enhanced</h><p>The spell heals 5d12 points of damage + 1 point per caster level (maximum +25). It can revive a creature that died of hp damage within the past 2 rounds. If the target was slain by a death effect that allows a saving throw, this spell allows the creature to attempt another save against that effect. If this save is successful, the creature is revived with -10 hp plus the amount healed by this spell.</p><p><h>Mythic Augmented (9th)</h>: If you expend two uses of mythic power, you can target up to one creature per caster level within 30 feet of you. Alternatively, you can target one creature that has been dead for a number of rounds up to your caster level.</p>
Burning Gaze	<h>Mythic Enhanced</h><p>You may focus your burning gaze on a creature or object as a move action instead of as a standard action. The target takes 1d8 points of fire damage for failing its save and for each round it's on fire.</p><p><h>Mythic Augmented</h>: If you expend two uses of mythic power, once during the spell's duration you can, as a full-round action, direct your burning gaze at up to one creature per caster level.</p>
Burning Hands	<h>Mythic Enhanced</h><p>The range increases to 20 feet, and the damage dealt increases to 1d6 points of fire damage per caster level (maximum 5d6).</p>
Burrow	<h>Mythic Enhanced</h><p>The target can breathe underground while burrowing. If you're 3rd tier, the burrow speed increases to 20 feet through sand, soil, or gravel, and to 10 feet through stone. At 6th tier, these speeds increase to 30 feet and 15 feet respectively. At 9th tier, these speeds increase to 40 feet and 20 feet.</p><h>Mythic Augmented (3rd)</h><p>: If you expend two uses of mythic power, the burrowing creature may leave behind an open tunnel with a diameter equal to half its space. When the spell's effect ends, this tunnel closes up immediately.</p>
Call Animal	<h>Mythic Enhanced</h><p>You can call up to one animal per 2 caster levels. Animals that answer your call have a starting attitude of friendly. Add your tier to Handle Animal checks attempted to influence these animals.</p><p>You may use this spell to call magical beasts with Intelligence 1 or 2, but they can attempt Will saving throws (with a +4 bonus) to resist the spell.</p>
Call Lightning	<h>Mythic Enhanced</h><p>Each lightning bolt's damage increases to 3d10 points of damage (or 5d10 points outdoors in stormy weather). Half of this damage is electricity damage, and the other half is sonic. Creatures that succeed at their saving throws are dazzled and deafened for 1 round. Those that fail at their saving throws are dazzled and deafened for 1 minute.</p>
Cape of Wasps	<h>Mythic Enhanced</h><p>The wasp swarm fills a 15-foot-by-15-foot space centered on you (or on 1 of your squares, if your space is larger than 1 square). Creatures in the area of the swarm are affected by it normally (including the swarm's distraction ability). Add your tier to the swarm's distraction DC.</p><p>When you use the swarm to fly, it fills only your space, your fly speed is 30 feet (average maneuverability), and the swarm still provides partial concealment against ranged attacks.</p>
Chain Lightning	<h>Mythic Enhanced</h><p>This spell deals 1d10 points of damage per caster level (maximum 20d10) and the save DC isn't reduced for secondary targets. Secondary targets have to be within 30 feet of any other target, not necessarily the primary target.</p>
Changestaff	<h>Mythic Enhanced</h><p>The treant-like creature created with this spell is considered a mythic creature, and it gains DR 10/epic and slashing instead of gaining DR 10/slashing.</p><p><h>Mythic Augmented (7th)</h>: If you expend two uses of mythic power, the creature gains the savage mythic template.</p>
Chaos Hammer	<h>Mythic Enhanced</h><p>The damage dealt to lawful outsiders increases to 1d10 points of damage per caster level (maximum 10d10), and the damage dealt to other lawful creatures increases to 1d12 points of damage per 2 caster levels (maximum 5d12). The duration of <i>slow</i> increases to 2d6 rounds. Lawful creatures that succeed at their saves are slowed for 1 round.</p>
Chill Metal	<h>Mythic Enhanced</h><p>The damage dealt increases to 1d8 points of cold damage on rounds 2 and 6, and to 2d8 points of cold damage on rounds 3 through 5. Each round a creature takes cold damage from this spell, it also takes 1 point of Dexterity damage (Fortitude negates).</p>
Chord of Shards	<h>Mythic Enhanced</h><p>The damage dealt increases to 2d8 points of piercing damage and bypasses all damage reduction. Any creature damaged by the shards takes 1d8 points of sonic damage.</p>
Circle of Death	<h>Mythic Enhanced</h><p>The number of Hit Dice worth of creatures killed by the spell increases to 1d6 per caster level (maximum 20d6). Add your tier to the maximum HD of creatures that can be affected by the spell. (For example, at 3rd tier, a creature with 12 HD cannot be affected.)</p><p><h>Mythic Augmented (6th)</h>: If you expend two uses of mythic power, creatures that succeed at their saves against this spell take 1d6 points of damage per tier.</p>
Cloudkill	<h>Mythic Enhanced</h><p>As a move action, you can move the cloud 10 feet in any direction. Add your tier to the spell's level and Hit Dice categories to determine its effect on creatures. (For example, at 3rd tier a creature with 6 or fewer HD gets no save, one with 7-9 HD must save or die, and one with 10 or more HD must save or take 1d4 points of Con damage.)<span></span></p><p><h>Mythic Augmented (6th)</h>: If you expend two uses of mythic power, the spell bypasses the poison immunity of living creatures.</p>
Color Spray	<h>Mythic Enhanced</h><p>The range increases to 30 feet. Add half your tier to the spell's Hit Dice categories to determine its effects on creatures. (At 3rd tier a creature with 3 or fewer HD is unconscious, blinded, and stunned; one with 4 or 5 HD is blinded and stunned, and one with 6 or more HD is stunned.) Creatures that succeed at their saves are dazzled for 1 minute.</p>
Command	<h>Mythic Enhanced</h><p>You can target up to one creature per level, each of which must receive the same command. Creatures that succeed at their saving throws are staggered for 1 round (this is a mind-affecting effect).</p>
Companion Mind Link	<h>Mythic Enhanced</h><p>Your animal companion understands complex instructions transmitted by the spell. It can perform any trick (even one it doesn't know) as well as any activity that could be understood by a creature with an Intelligence score of 8.</p>
Cone of Cold	<h>Mythic Enhanced</h><p>The damage dealt increases to 1d10 points of cold damage per caster level (maximum 15d10). Any creature that fails its save is partially encased in ice, reducing its speed by half. Creatures with the cold or incorporeal subtype or immunity to being grappled are immune to this effect. The reduced movement lasts until the ice is destroyed. Destroying the ice requires a successful Strength or dispel check against the spell's DC, or dealing bludgeoning or fire damage equal to 1 point per caster level to the creature.</p><p><h>Mythic Augmented</h>: You can expend two uses of mythic power to transform the spell's cold into a barrage of giant hailstones, icicles, or shards. Half the spell's damage is your choice of bludgeoning, piercing, or slashing damage, and the other half is cold damage.</p>
Confusion	<h>Mythic Enhanced</h><p>Roll on the table below instead of the non-mythic version at the start of each subject's turn to see what it does in that round.</p><p><h>Mythic Augmented</h>: If you expend two uses of mythic power when casting the spell, you force one affected creature per round to roll on the table twice and take the higher result.</p>
Conjure Black Pudding	<h>Mythic Enhanced</h><p>The black pudding has fast healing equal to your tier, as do any puddings that split off from it. The black puddings from this spell never attack you, though they're otherwise uncontrolled and might attack your allies if there are no other obvious opponents.</p><p><h>Mythic Augmented (6th)</h>: If you expend two uses of mythic power, the pudding gains the savage mythic template (see page 224). Puddings that split off from the giant pudding don't gain the template.</p>
Consecrate	<h>Mythic Enhanced</h><p>Select one alignment component that you have (chaotic, good, or lawful). The spell's penalty on attack rolls, damage rolls, and saves also affects outsiders with the opposite alignment subtype as if they were undead.</p>
Contagion	<h>Mythic Enhanced</h><p>The affected target is highly contagious. Any creature it touches or that touches it with natural weapons or unarmed strikes must save or contract the disease. The save DC for these targets is equal to the spell's DC - 4. The target can't spread this disease to you.</p><p><h>Mythic Augmented (7th)</h>: If you expend five uses of mythic power, the spell targets every living creature within a 1-mile radius. You can select one creature per caster level within your line of sight; these creatures are unaffected by the spell.</p>
Contingency	<h>Mythic Enhanced</h><p>You can cast this spell on yourself or another willing creature as if the spell had a range of touch. A companion spell placed on another creature must be a spell from you, not from the creature, and affects that creature when triggered. The target can have only one <i>contingency</i> spell upon it at a time unless it also knows <i>mythic contingency</i>. The number of companion spells you can have on yourself is equal to 1 + half your tier.</p><p><h>Mythic Augmented (5th)</h>: If you expend two uses of mythic power, the casting time changes to 1 full round plus the casting time of the companion spell, but the duration of <i>mythic contingency</i> decreases to 1 hour per level or until discharged.</p>
Control Weather	<h>Mythic Enhanced</h><p>The casting time changes to 1 standard action, and the duration doubles. The weather changes after a number of rounds equal to 11 - your tier.</p><p><h>Mythic Augmented (6th)</h>: If you expend two uses of mythic power, you can create weather of any type regardless of the season, and the weather changes after 1 round.</p>
Cup of Dust	<h>Mythic Enhanced</h><p>On a failed save, the target immediately takes 1d6 points of nonlethal damage per tier. Add your tier to the DC of any further Constitution checks the target attempts to resist dehydration as part of this spell's effects. While the curse is in effect, the target gains no benefit from any spell, effect, or item that requires drinking, such as potions and elixirs (though these are still used up when the target drinks them).</p>
Cure Critical Wounds	<h>Mythic Enhanced</h><p>The damage cured increases to 8d8 points of damage + 2 points per caster level (maximum +40). The spell cures up to 4 points of ability damage if the target is a living creature. The target chooses what types of ability damage are cured.</p>
Cure Light Wounds	<h>Mythic Enhanced</h><p>The damage cured increases to 2d8 points of damage + 2 points per caster level (maximum +10). The spell cures up to 1 point of ability damage if the target is a living creature. The target chooses what type of ability damage is cured.</p>
Cure Moderate Wounds	<h>Mythic Enhanced</h><p>The damage cured increases to 4d8 points of damage + 2 points per caster level (maximum +20). The spell cures up to 2 points of ability damage if the target is a living creature. The target chooses what types of ability damage are cured.</p>
Cure Serious Wounds	<h>Mythic Enhanced</h><p>The damage cured increases to 6d8 points of damage + 2 points per caster level (maximum +30). The spell cures up to 3 points of ability damage if the target is a living creature. The target chooses what types of ability damage are cured.</p>
Damnation Stride	<h>Mythic Enhanced</h><p>The burst of fire created reeks of sulfur and brimstone and also acts like <i>stinking cloud</i> (with the same duration as that spell and a separate Fortitude save).</p><p><h>Mythic Augmented (6th)</h>: If you expend two uses of mythic power, you bring one unwilling adjacent creature with you. You may bring additional creatures, but each must be adjacent to you and each requires you to expend one additional use of mythic power. These creatures must first attempt a saving throw against the burst of flame and <i>stinking cloud</i>, then can attempt a Will saving throw to resist being teleported with you.</p>
Darkness	<h>Mythic Enhanced</h><p>The illumination level in the area drops to darkness regardless of the existing lighting conditions. Non-mythic spells and effects can't increase the light level in the area. Creatures with darkvision and the power to see in darkness have difficulty seeing through this darkness, and can see as well as a human can in dim light. Creatures in the area of darkness take a -2 penalty on saves against fear.</p>
Daybreak Arrow	<h>Mythic Enhanced</h><p>The additional damage to undead and creatures harmed by sunlight increases to 1d8. The affected ammunition is entirely composed of radiant energy, and bypasses all damage resistance from undead targets and those harmed by sunlight. The duration of the sunrod light effect increases to 1 minute.</p>
Daylight	<h>Mythic Enhanced</h><p>The illumination in the additional 60 foot radius increases to at least normal light regardless of the existing lighting conditions. Creatures that take penalties in bright light double those penalties while in the area of bright light produced by this spell. All other creatures in the area of bright light gain a +2 circumstance bonus on Perception checks and saves to resist fear.</p>
Death Knell	<h>Mythic Enhanced</h><p>Increase the spell's range to close (25 feet + 5 feet per 2 caster levels). Increase the temporary hp gained from the spell to 2d8 and the enhancement bonuses to Strength to +4, and gain a +4 enhancement bonus to Dexterity.</p><h>Mythic Augmented (3rd)</h><p>: If you expend two uses of mythic power, the casting time decreases to 1 immediate action, and you may target a creature that you killed on your last turn as if it were still alive; the dead target gets no save.</p>
Deep Slumber	<h>Mythic Enhanced</h><p>This spell works like <i>mythic sleep</i>, except that it affects up to 20 Hit Dice of creatures. Alternatively, you may target one creature rather than an area, increasing the duration to 1 hour per level.</p><p><h>Mythic Augmented (5th)</h>: If you expend two uses of mythic power, creatures affected by the spell can be awakened only by mythic effects. If you're 5th tier and expend three uses of mythic power, the duration increases to 10 years per tier. If you're 5th tier and expend four uses of mythic power, the spell has both augmented effects. Creatures sleeping for years because of this spell age and breathe as normal, but don't need to eat or drink while the spell lasts.</p>
Defile Armor	<h>Mythic Enhanced</h><p>You gain DR 5/good while wearing the target armor. While using your judgment or smite ability, this improves to DR 10/good.</p><h>Mythic Augmented (3rd)</h><p>: If you expend two uses of mythic power, while you use your judgment or smite, add half your tier to your AC as a profane bonus.</p>
Desecrate	<h>Mythic Enhanced</h><p>Select one alignment component that you have (chaotic, evil, or lawful). Outsiders with the opposite alignment subtype of the chosen alignment component take a -1 penalty on attack rolls, damage rolls, and saves in the area.</p>
Detect Scrying	<h>Mythic Enhanced</h><p>This spell automatically gives you a visual image of the creature scrying you. If it's using a non-mythic means of scrying, you also gain an accurate sense of its direction and distance from you. You automatically succeed at caster level checks to overcome <i>nondetection</i> or similar effects (other than <i>mind blank</i>) that block your ability to detect the creature.</p><p>If you learn the creature's direction and distance with this spell, you can, as an immediate action, cast a mind-affecting spell through the scrying sensor to target the creature. This spell affects only the scrying creature, even if the spell normally affects an area or multiple targets. You must expend a number of uses of mythic power equal to the level of the spell you wish to cast against the creature.</p><p><h>Mythic Augmented (6th)</h>: If you expend two uses of mythic power, even <i>mind blank</i> doesn't prevent you from detecting the scrying creature. If you teleport to the creature's location within 1 minute, you arrive on target (with no chance of error) and bypass non-mythic effects that block teleportation. Alternatively, you can compel the creature to attempt to teleport to you within 1 minute (Will negates, DC equal to 10 plus double your tier). It must use its own means of teleportation to do so, but you guarantee it arrives on target and bypasses non-mythic effects that block teleportation to your location.</p>
Devolution	<h>Mythic Enhanced</h><p>The saving throw changes to Will (partial). If it succeeds at its save, the eidolon loses one evolution, chosen at random.</p>
Dictum	<h>Mythic Enhanced</h><p>When determining the spell's effect on non-mythic creatures, add your tier to your caster level. Nonlawful creatures that fail their saves against the spell also take a -4 penalty on attack rolls and saving throws, and their spell resistance decreases by 5 for as long as the spell's other effects last.</p>
Dimensional Lock	<h>Mythic Enhanced</h><p>The spell doesn't interfere with your extradimensional travel spells and effects.</p><p><h>Mythic Augmented (4th)</h>: You can augment <i>mythic dimensional lock</i> to redirect teleporting creatures to another location. If you expend two uses of mythic power, designate a location that you're very familiar with. This location must be on the same plane as you. Any creature attempting to use extradimensional travel from outside the spell's area into that area is instead redirected to this other location.</p><p>The creature can attempt a Spellcraft check against your caster level. If it succeeds, it's aware of the redirection (though not the destination) and can interrupt its spellcasting, losing the spell but not teleporting.</p>
Dimension Door	<h>Mythic Enhanced</h><p>The duration of this spell changes to 1 round per 2 caster levels, and it creates a temporary, invisible, one-way portal in your square to your destination. You immediately pass through the portal and arrive at the destination, but you can't take any other creatures with you.</p><p>When casting the spell, you can designate a number of creatures equal to your caster level. These creatures can see and use the portal, passing through it to arrive at the destination (this isn't an action). A creature that passes through the portal can't take any other actions until its next turn.</p>
Discordant Blast	<h>Mythic Enhanced</h><p>The damage dealt increases to 5d6 points of sonic damage, and you gain a +2 bonus on combat maneuver checks to the bull rush opponents. The spell can penetrate non-mythic magical silence and dispels any non-mythic <i>silence</i> effect of 4th level or lower.</p>
Disfiguring Touch	<h>Mythic Enhanced</h><p>The target takes two different penalties (chosen from the same list) instead of one.</p><p><h>Mythic Augmented</h>: If you expend two uses of mythic power, the target also gains the fatigued condition because of its painful disfigurement. If this fatigue is negated without removing the curse, it returns after 1 hour.</p>
Disintegrate	<h>Mythic Enhanced</h><p>The damage dealt increases to 3d6 points of damage per caster level (maximum 60d6) plus 1d4 points of Constitution damage. A creature that succeeds at its saving throw takes 5d8 points of damage plus 1 point of Constitution damage.</p><p>A creature whose Constitution score is reduced to 0 by this spell is entirely disintegrated.</p><p><h>Mythic Augmented (7th)</h>: If you expend two uses of mythic power, you fire two rays.</p><p>Alternatively, you may fire only one ray, but if the target is a non-mythic creature and it fails its saving throw, it's automatically disintegrated regardless of its current hp.</p>
Dispel Magic	<h>Mythic Enhanced</h><p>When used as a targeted dispel, this spell can end two spells affecting the target instead of just one. If the targeted dispel successfully dispels at least one spell, you heal 1d4 points of damage for every spell level of the dispelled spell. If you dispel two spells, this healing applies only to the highest-level spell dispelled. If you use this spell to counterspell, roll your dispel check twice and take the higher result.</p>
Divine Favor	<h>Mythic Enhanced</h><p>You also gain the luck bonus on saving throws and skill checks. Alternatively, you can cast this spell on another willing creature, changing the range to touch and target to living creature touched.</p>
Divine Pursuit	<h>Mythic Enhanced</h><p>The speed of the movement form provided by the spell increases by 30 feet. This adjustment is treated as an enhancement bonus. You gain a bonus on Perception and Survival skill checks attempted against the selected creature. This is a sacred bonus if you're good or a profane bonus if you're evil; if you're neutral, choose either the sacred or profane bonus.</p>
Dominate Person	<h>Mythic Enhanced</h><p>The Sense Motive DC to notice your target is dominated increases by double your tier. You can give orders to the target even if it's protected by non-mythic effects that block magical control, such as <i>protection from evil</i>. If the target is protected by a mythic effect, you can attempt to overcome this defense with a caster level check (DC 15 plus the caster level of the effect); add your tier to your roll and the opposing caster's tier to the DC. If the target succeeds at its Will save to break your control, as an immediate action you can expend one use of mythic power to force it to reroll the save and use the lower result.</p>
Draconic Reservoir	<h>Mythic Enhanced</h><p>The amount of energy damage the spell absorbs increases to 10 points per caster level (maximum 100 points). The energy damage from the weapons improves as if using a <i>corrosive burst</i>, <i>flaming burst</i>, <i>icy burst</i>, or <i>shocking burst</i> weapon.</p><h>Mythic Augmented (3rd)</h><p>: If you expend two uses of mythic power, spending a swift action applies the energy damage to any number of creatures the target hits this round, not just the first.</p>
Dragon's Breath	<h>Mythic Enhanced</h><p>The spell's duration changes to 1 minute/level or until discharged. You can use the breath weapon up to three times during this duration. On the round you cast the spell, using the breath weapon is a free action; later uses require a standard action. You must wait 1d4 rounds between each use of the breath weapon. All uses for a particular casting have the same range, area, and energy type. You can have only one <i>dragon's breath</i> spell in effect at a time; casting a new one ends the previous one.</p>
Dream	<h>Mythic Enhanced</h><p>You or the messenger may gain information from the dreamer you contact by asking questions as if using <i>speak with dead</i> to speak with a corpse. An unwilling dreamer can attempt to resist this probing with a Will save (as <i>speak with dead</i>, using the DC <i>dream</i> would have if it allowed a saving throw). Answers to these questions are still generally brief and cryptic.</p>
Dust of Twilight	<h>Mythic Enhanced</h><p>A creature that fails its Fortitude save against the spell must also succeed at a Will save at the same DC or fall asleep (as the <i>sleep</i> spell). Creatures that succeed at their saves are merely drowsy (as the <i>lullaby</i> spell).</p><p><h>Mythic Augmented</h>: If you expend two uses of mythic power, add half your tier to the level of light spells <i>mythic dust of twilight </i>dispels.</p>
Ear-Piercing Scream	<h>Mythic Enhanced</h><p>The damage dealt increases to 1d8 points of sonic damage per 2 caster levels (maximum 5d8) and the duration that creatures in the area are dazed is a number of rounds equal to your tier.</p><h>Mythic Augmented (3rd)</h><p>: If you expend two uses of mythic power, the spell affects a 30-foot cone rather than a single target.</p>
Earthquake	<h>Mythic Enhanced</h><p>Increase the damage dealt to structures by 10 points of damage per tier. Increase the damage dealt by cave-ins and landslides to 10d8 points of damage. Increase the damage dealt to those pinned beneath rubble to 1d10 points per minute. Add your tier to the DC of concentration checks and Constitution checks attempted as a consequence of this spell.</p><p><h>Mythic Augmented (8th)</h>: If you expend two uses of mythic power, the spell lasts for an additional round and the spread's radius increases by 20 feet. Each round this spell is in effect, on your turn you may expend one use of mythic power to continue its duration for 1 round and increase its radius by another 20 feet.</p>
