Baleful Polymorph	Baleful Polymorph	transmutation (polymorph)	druid 5, sorcerer/wizard 5	1 standard action	V, S	close (25 ft. + 5 ft./2 levels)	one creature	permanent	Fortitude negates, Will partial, see text	yes	<h>Normal Use</h><p>As <i>beast shape III, </i>except that you change the subject into a Small or smaller animal of no more than 1 HD. If the new form would prove fatal to the creature, such as an aquatic creature not in water, the subject gets a +4 bonus on the save.</p><p>If the spell succeeds, the subject must also make a Will save. If this second save fails, the creature loses its extraordinary, supernatural, and spell-like abilities, loses its ability to cast spells (if it had the ability), and gains the alignment, special abilities, and Intelligence, Wisdom, and Charisma scores of its new form in place of its own. It still retains its class and level (or HD), as well as all benefits deriving therefrom (such as base attack bonus, base save bonuses, and hit points). It retains any class features (other than spellcasting) that aren't extraordinary, supernatural, or spell-like abilities.</p><p>Any polymorph effects on the target are automatically dispelled when a target fails to resist the effects of <i>baleful polymorph</i>, and as long as <i>baleful polymorph</i> remains in effect, the target cannot use other polymorph spells or effects to assume a new form. Incorporeal or gaseous creatures are immune to <i>baleful polymorph</i>, and a creature with the shapechanger subtype can revert to its natural form as a standard action.</p>
Bane	Bane	enchantment (compulsion) [fear, mind-affecting]	cleric 1	1 standard action	V, S, DF	50 ft.	50-ft.-radius burst, centered on you	1 min./level	Will negates	yes	<h>Normal Use</h><p><i>Bane </i>fills your enemies with fear and doubt. Each affected creature takes a -1 penalty on attack rolls and a -1 penalty on saving throws against fear effects. <i>Bane </i>counters and dispels <i>bless</i>.</p>
Barkskin	Barkskin	transmutation	druid 2, ranger 2	1 standard action	V, S, DF	touch	living creature touched	10 min./level	none	yes (harmless)	<h>Normal Use</h><p><i>Barkskin </i>toughens a creature's skin. The effect grants a +2 enhancement bonus to the creature's existing natural armor bonus. This enhancement bonus increases by 1 for every three caster levels above 3rd, to a maximum of +5 at 12th level.</p><p>The enhancement bonus provided by <i>barkskin </i>stacks with the target's natural armor bonus, but not with other enhancement bonuses to natural armor. A creature without natural armor has an effective natural armor bonus of +0.</p>
Battle Trance	Battle Trance	enchantment (compulsion) [emotion, mind-affecting]	alchemist 3, antipaladin 3, cleric 4, inquisitor 3, ranger 3, witch 4	1 standard action	V, S	personal	you	1 minute/level	Will negates	yes	<h>Normal Use</h><p>You are transformed into a single-minded force of destruction. You gain the ferocity monster special ability, a number of temporary hit points equal to 1d6 + your caster level (maximum +10), and a +4 morale bonus on saving throws against mind-affecting effects. You cannot use the withdraw action or willingly move away from a creature that has attacked you.</p><p>When you use this spell, you immediately take 4 points of Intelligence damage. You must make a DC 20 concentration check to cast spells, and all other concentration checks to cast spells have a -5 penalty.</p><h>Mythic Enhanced</h><p>The number of temporary hit points you gain increases to 2d6 + your caster level (maximum +10) + your tier. The morale bonus on saving throws against mind-affecting effects increases to +6.</p><p><h>Mythic Augmented (5th)</h>: If you expend two uses of mythic power, you gain a +4 morale bonus to Strength, immunity to non-mythic mind-affecting effects, and DR 5/epic.</p>
Battlemind Link	Battlemind Link	divination [mind-affecting]	inquisitor 4, sorcerer/wizard 6	1 standard action	V, S	personal and close (25 ft. + 5 ft./2 levels)	you and 1 ally	1 minute/level	Will negates (harmless)	yes (harmless)	<h>Normal Use</h><p>You fuse your thoughts with an ally's, allowing the two of you to fight in tandem, perfectly coordinated. You and the ally each roll initiative in combat and use the higher die result before adding modifiers. This has three effects.</p><p><i>Melee</i>: If you both make melee attacks against the same creature, you both make attack rolls and both use the higher of the two dice for your attack rolls (plus bonuses).</p><p><i>Ranged</i>: If you both make ranged attacks against the same creature, you both make attack rolls and both use the higher of the two dice for your attack roll (plus bonuses).</p><p><i>Spell</i>: If you both cast spells and target the same area or same creature, affected creatures take a -2 penalty on their saving throw against the spells.</p><p>You and the target lose these benefits if you cannot see each other or if you or the target is unconscious or helpless.</p><h>Mythic Enhanced</h><p>When you cast this spell, if your linked ally uses a mythic path ability against a creature, you can use the same path ability against that creature as if you had it yourself, and your linked ally can likewise use any path abilities you use against a creature (even if that ally isn't mythic). For example, if you're a champion attacking a frost giant using the precision path ability, your linked ally can use your precision ability when she attacks that frost giant. If a path ability requires expending uses of mythic power or any other cost, your linked ally must expend that cost for you to use the ability.</p>
Beast Shape I	Beast Shape I	transmutation (polymorph)	sorcerer/wizard 3	1 standard action	V, S, M (a piece of the creature whose form you plan to assume)	personal	you	1 min./level (D)	none	none	<h>Normal Use</h><p>When you cast this spell, you can assume the form of any Small or Medium creature of the animal type. If the form you assume has any of the following abilities, you gain the listed ability: climb 30 feet, fly 30 feet (average maneuverability), swim 30 feet, darkvision 60 feet, low-light vision, and scent.</p><p><i>Small animal</i>: If the form you take is that of a Small animal, you gain a +2 size bonus to your Dexterity and a +1 natural armor bonus.</p><p><i>Medium animal</i>: If the form you take is that of a Medium animal, you gain a +2 size bonus to your Strength and a +2 natural armor bonus.</p><h>Mythic Enhanced</h><p>Each <i>mythic beast shape</i> spell must be learned individually, and you must know the respective non-mythic <i>beast shape</i> spell to learn its mythic version. You don't have to learn them in order and are not required to know a lower-level <i>mythic beast shape</i> spell before you learn a higher-level one (for example, you can learn <i>mythic beast shape II </i>if you know <i>beast shape II</i>, even if you don't know <i>mythic beast shape I</i>). Each <i>mythic beast shape</i> spell adds the following benefits to its respective non-mythic version.</p><p>The spell's bonuses to ability scores increase by 2, the natural armor bonus increases by 1, and the ability score penalties decrease by 2 (minimum penalty of 0). Choose one natural attack type the animal form has, such as bite or claws. The critical multiplier for this attack type increases by 1 (maximum x4).</p><p><h>Mythic Augmented (2nd)</h>: If you expend two uses of mythic power, the ability score bonuses increase by an additional 2. During each casting of the spell, a number of times equal to your tier, you can act as if you had the Natural Spell feat for 1 round. For example, if you're 2nd tier, you can use the Natural Spell feat for 2 rounds per casting of <i>mythic beast shape</i>.</p>
Beast Shape II	Beast Shape II	transmutation (polymorph)	sorcerer/wizard 4	1 standard action	V, S, M (a piece of the creature whose form you plan to assume)	personal	you	1 min./level (D)	none	none	<h>Normal Use</h><p>This spell functions as <i>beast shape I,</i> except that it also allows you to assume the form of a Tiny or Large creature of the animal type. If the form you assume has any of the following abilities, you gain the listed ability: climb 60 feet, fly 60 feet (good maneuverability), swim 60 feet, darkvision 60 feet, low-light vision, scent, grab, pounce, and trip.</p><p><i>Tiny animal</i>: If the form you take is that of a Tiny animal, you gain a +4 size bonus to your Dexterity, a -2 penalty to your Strength, and a +1 natural armor bonus.</p><p><i>Large animal</i>: If the form you take is that of a Large animal, you gain a +4 size bonus to your Strength, a -2 penalty to your Dexterity, and a +4 natural armor bonus.</p><h>Mythic Enhanced</h><p>Each <i>mythic beast shape</i> spell must be learned individually, and you must know the respective non-mythic <i>beast shape</i> spell to learn its mythic version. You don't have to learn them in order and are not required to know a lower-level <i>mythic beast shape</i> spell before you learn a higher-level one (for example, you can learn <i>mythic beast shape II </i>if you know <i>beast shape II</i>, even if you don't know <i>mythic beast shape I</i>). Each <i>mythic beast shape</i> spell adds the following benefits to its respective non-mythic version.</p><p>The spell's bonuses to ability scores increase by 2, the natural armor bonus increases by 1, and the ability score penalties decrease by 2 (minimum penalty of 0). Choose one natural attack type the animal form has, such as bite or claws. The critical multiplier for this attack type increases by 1 (maximum x4).</p><p><h>Mythic Augmented (2nd)</h>: If you expend two uses of mythic power, the ability score bonuses increase by an additional 2. During each casting of the spell, a number of times equal to your tier, you can act as if you had the Natural Spell feat for 1 round. For example, if you're 2nd tier, you can use the Natural Spell feat for 2 rounds per casting of <i>mythic beast shape</i>.</p>
Beast Shape III	Beast Shape III	transmutation (polymorph)	sorcerer/wizard 5	1 standard action	V, S, M (a piece of the creature whose form you plan to assume)	personal	you	1 min./level (D)	none	none	<h>Normal Use</h><p>This spell functions as <i>beast shape II, </i>except that it also allows you to assume the form of a Diminutive or Huge creature of the animal type. This spell also allows you to take on the form of a Small or Medium creature of the magical beast type. If the form you assume has any of the following abilities, you gain the listed ability: burrow 30 feet, climb 90 feet, fly 90 feet (good maneuverability), swim 90 feet, blindsense 30 feet, darkvision 60 feet, low-light vision, scent, constrict, ferocity, grab, jet, poison, pounce, rake, trample, trip, and web.</p><p><i>Diminutive animal</i>: If the form you take is that of a Diminutive animal, you gain a +6 size bonus to your Dexterity, a -4 penalty to your Strength, and a +1 natural armor bonus.</p><p><i>Huge animal</i>: If the form you take is that of a Huge animal, you gain a +6 size bonus to your Strength, a -4 penalty to your Dexterity, and a +6 natural armor bonus.</p><p><i>Small magical beast</i>: If the form you take is that of a Small magical beast, you gain a +4 size bonus to your Dexterity, and a +2 natural armor bonus.</p><p><i>Medium magical beast</i>: If the form you take is that of a Medium magical beast, you gain a +4 size bonus to your Strength, and a +4 natural armor bonus.</p><h>Mythic Enhanced</h><p>Each <i>mythic beast shape</i> spell must be learned individually, and you must know the respective non-mythic <i>beast shape</i> spell to learn its mythic version. You don't have to learn them in order and are not required to know a lower-level <i>mythic beast shape</i> spell before you learn a higher-level one (for example, you can learn <i>mythic beast shape II </i>if you know <i>beast shape II</i>, even if you don't know <i>mythic beast shape I</i>). Each <i>mythic beast shape</i> spell adds the following benefits to its respective non-mythic version.</p><p>The spell's bonuses to ability scores increase by 2, the natural armor bonus increases by 1, and the ability score penalties decrease by 2 (minimum penalty of 0). Choose one natural attack type the animal form has, such as bite or claws. The critical multiplier for this attack type increases by 1 (maximum x4).</p><p><h>Mythic Augmented (2nd)</h>: If you expend two uses of mythic power, the ability score bonuses increase by an additional 2. During each casting of the spell, a number of times equal to your tier, you can act as if you had the Natural Spell feat for 1 round. For example, if you're 2nd tier, you can use the Natural Spell feat for 2 rounds per casting of <i>mythic beast shape</i>.</p>
Beast Shape IV	Beast Shape IV	transmutation (polymorph)	sorcerer/wizard 6	1 standard action	V, S, M (a piece of the creature whose form you plan to assume)	personal	you	1 min./level (D)	none	none	<h>Normal Use</h><p>This spell functions as <i>beast shape III </i>except that it also allows you to assume the form of a Tiny or Large creature of the magical beast type. If the form you assume has any of the following abilities, you gain the listed ability: burrow 60 feet, climb 90 feet, fly 120 feet (good maneuverability), swim 120 feet, blindsense 60 feet, darkvision 90 feet, low-light vision, scent, tremorsense 60 feet, breath weapon, constrict, ferocity, grab, jet, poison, pounce, rake, rend, roar, spikes, trample, trip, and web. If the creature has immunity or resistance to any elements, you gain resistance 20 to those elements. If the creature has vulnerability to an element, you gain that vulnerability.</p><p><i>Tiny magical beast</i>: If the form you take is that of a Tiny magical beast, you gain a -2 penalty to your Strength, a +8 size bonus to your Dexterity, and a +3 natural armor bonus.</p><p><i>Large magical beast</i>: If the form you take is that of a Large magical beast, you gain a +6 size bonus to your Strength, a -2 penalty on your Dexterity, a +2 size bonus to your Constitution, and a +6 natural armor bonus.</p><h>Mythic Enhanced</h><p>Each <i>mythic beast shape</i> spell must be learned individually, and you must know the respective non-mythic <i>beast shape</i> spell to learn its mythic version. You don't have to learn them in order and are not required to know a lower-level <i>mythic beast shape</i> spell before you learn a higher-level one (for example, you can learn <i>mythic beast shape II </i>if you know <i>beast shape II</i>, even if you don't know <i>mythic beast shape I</i>). Each <i>mythic beast shape</i> spell adds the following benefits to its respective non-mythic version.</p><p>The spell's bonuses to ability scores increase by 2, the natural armor bonus increases by 1, and the ability score penalties decrease by 2 (minimum penalty of 0). Choose one natural attack type the animal form has, such as bite or claws. The critical multiplier for this attack type increases by 1 (maximum x4).</p><p><h>Mythic Augmented (2nd)</h>: If you expend two uses of mythic power, the ability score bonuses increase by an additional 2. During each casting of the spell, a number of times equal to your tier, you can act as if you had the Natural Spell feat for 1 round. For example, if you're 2nd tier, you can use the Natural Spell feat for 2 rounds per casting of <i>mythic beast shape</i>.</p>
Black Mark	Black Mark	necromancy [curse, fear]	druid 7, witch 7	1 standard action	V, S, M (a flask of seawater)	touch	one creature	permanent	Will negates	yes	<h>Normal Use</h><p>You mark the target with a black marking on its skin; the mark's exact appearance determined by you, but can be no larger than your hand. The <i>black mark </i>functions as a <i>mark of justice</i>, and when the mark is activated, the target becomes shaken anytime it is on or in the water more than a 5 feet from shore. In addition, as long as the <i>black mark </i>is active, the target is affected as if subject to <i>nature's exile </i>, but all creatures with the aquatic or water subtype or with a swim speed are made hostile, even those not of the animal type, though non-aquatic animals are not. </p><h>Mythic Enhanced</h><p>Any time the cursed creature travels on or in the water more than 1 mile from shore, each day it (or the vessel it's on) is attacked by one or more aquatic or water monsters, as if summoned by <i>summon nature's ally VII</i> (caster level 13th).</p>
Black Tentacles	Black Tentacles	conjuration (creation)	sorcerer/wizard 4	1 standard action	V, S, M (octopus or squid tentacle)	medium (100 ft. + 10 ft./level)	20-ft.-radius spread	1 round/level (D)	none	no	<h>Normal Use</h><p>This spell causes a field of rubbery black tentacles to appear, burrowing up from the floor and reaching for any creature in the area. </p><p>Every creature within the area of the spell is the target of a combat maneuver check made to grapple each round at the beginning of your turn, including the round that <i>black tentacles</i> is cast. Creatures that enter the area of effect are also automatically attacked. The tentacles do not provoke attacks of opportunity. When determining the tentacles' CMB, the tentacles use your caster level as their base attack bonus and receive a +4 bonus due to their Strength and a +1 size bonus. Roll only once for the entire spell effect each round and apply the result to all creatures in the area of effect.</p><p>If the tentacles succeed in grappling a foe, that foe takes 1d6+4 points of damage and gains the grappled condition. Grappled opponents cannot move without first breaking the grapple. All other movement is prohibited unless the creature breaks the grapple first. The <i>black tentacles</i> spell receives a +5 bonus on grapple checks made against opponents it is already grappling, but cannot move foes or pin foes. Each round that <i>black tentacles</i> succeeds on a grapple check, it deals an additional 1d6+4 points of damage. The CMD of <i>black tentacles</i>, for the purposes of escaping the grapple, is equal to 10 + its CMB.</p><p>The tentacles created by this spell cannot be damaged, but they can be dispelled as normal. The entire area of effect is considered difficult terrain while the tentacles last.</p>
Blade Barrier	Blade Barrier	evocation [force]	cleric 6	1 standard action	V, S	medium (100 ft. + 10 ft./level)	wall of whirling blades up to 20 ft. long/level, or a ringed wall of whirling blades with a radius of up to 5 ft. per two levels; either form is 20 ft. high	1 min./level (D)	Reflex half or Reflex negates; see text	yes	<h>Normal Use</h><p>An immobile, vertical curtain of whirling blades shaped of pure force springs into existence. Any creature passing through the wall takes 1d6 points of damage per caster level (maximum 15d6), with a Reflex save for half damage.</p><p>If you evoke the barrier so that it appears where creatures are, each creature takes damage as if passing through the wall. Each such creature can avoid the wall (ending up on the side of its choice) and thus take no damage by making a successful Reflex save.</p><p>A <i>blade barrier </i>provides cover (+4 bonus to AC, +2 bonus on Reflex saves) against attacks made through it.</p>
Blasphemy	Blasphemy	evocation [evil, sonic]	cleric 7	1 standard action	V	40 ft.	nonevil creatures in a 40-ft.-radius spread centered on you	instantaneous	Will partial	yes	<h>Normal Use</h><p>Any nonevil creature within the area of a <i>blasphemy </i>spell suffers the following ill effects.</p><p>The effects are cumulative and concurrent. A successful Will save reduces or eliminates these effects. Creatures affected by multiple effects make only one save and apply the result to all the effects.</p><p><i>Dazed</i>: The creature can take no actions for 1 round, though it defends itself normally. Save negates.</p><p><i>Weakened</i>: The creature's Strength score decreases by 2d6 points for 2d4 rounds. Save for half.</p><p><i>Paralyzed</i>: The creature is paralyzed and helpless for 1d10 minutes. Save reduces the paralyzed effect to 1 round.</p><p><i>Killed</i>: Living creatures die. Undead creatures are destroyed. Save negates. If the save is successful, the creature instead takes 3d6 points of damage + 1 point per caster level (maximum +25).</p><p>Furthermore, if you are on your home plane when you cast this spell, nonevil extraplanar creatures within the area are instantly banished back to their home planes. Creatures so banished cannot return for at least 24 hours. This effect takes place regardless of whether the creatures hear the <i>blasphemy</i> or not<i>. </i>The banishment effect allows a Will save (at a -4 penalty) to negate.</p><p>Creatures whose Hit Dice exceed your caster level are unaffected by <i>blasphemy.</i></p>
Bleed Glory	Bleed Glory	necromancy [curse]	cleric 3, sorcerer/wizard 3, witch 3	1 standard action	V, S	close (25 ft. + 5 ft./2 levels)	one mythic creature	1 minute/level	Will negates	yes	<h>Normal Use</h><p>The mythic power cost for all path abilities, feats, spells, and other effects used by the target increases by 1.</p>
Bless	Bless	enchantment (compulsion) [mind-affecting]	cleric 1, paladin 1	1 standard action	V, S, DF	50 ft.	The caster and all allies within a 50-ft. burst, centered on the caster	1 min./level	none	yes (harmless)	<h>Normal Use</h><p><i>Bless </i>fills your allies with courage. Each ally gains a +1 morale bonus on attack rolls and on saving throws against fear effects.</p><p><i>Bless </i>counters and dispels <i>bane</i>.</p>
Blessing of Fervor	Blessing of Fervor	transmutation	cleric 4	1 standard action	V, S, DF	close (25 ft. + 5 ft./2 levels)	one creature/level, no two of which can be more than 30 ft. apart	1 round/level	Fortitude negates (harmless)	yes (harmless)	<h>Normal Use</h><p>With this blessing, you call your allies to move forth and empower them to conquer and become victorious. Each round for the duration of this spell, each of your allies can choose one of the following bonuses for that round at the beginning of its turn (their choice).</p><p>These effects are not cumulative with similar effects, such as those provided by <i>haste</i> or a <i>speed</i> weapon, nor do they actually grant an extra action, so you can't use it to cast a second spell or otherwise take an extra action in the round. <i>Blessing of fervor</i> does not stack with <i>haste</i>.</p>
