deflect-arrows-mythic	Deflect Arrows (Mythic)	You deflect projectiles and ray spells with uncanny skill.	<p> Deflect Arrows.</p>	<p> When using Deflect Arrows, you can deflect an additional number of ranged attacks per round equal to half your tier. You can expend one use of mythic power as an immediate action to deflect a single ray from a ray spell or effect targeting you.</p>	
deft-hands-mythic	Deft Hands (Mythic)	Your hands are astonishingly nimble.	<p> Deft Hands.</p>	<p> The bonus on Disable Device and Sleight of Hand skill checks from Deft Hands increases by 2. In addition, you can expend one use of mythic power to treat a Disable Device or Sleight of Hand check as if you had rolled a natural 20. You must decide to use this ability before making the roll.</p>	
detect-expertise-mythic	Detect Expertise (Mythic)	You can sense a creature's magical abilities with just a mere glance.	<p> Detect Expertise.</p>	<p> You gain the benefit of Detect Expertise immediately (without needing to observe a creature for 3 rounds) when using the divinations listed in Detect Expertise. Non-mythic creatures cannot attempt a Will save to resist this effect.</p>	
disruptive-mythic	Disruptive (Mythic)	You're a master at disrupting nearby spellcasters.	<p> Disruptive.</p>	<p> The DC to cast spells defensively within your threatened area increases by half your tier. This stacks with the increase granted by Disruptive. In addition, even if you can't make attacks of opportunity, non-mythic spellcasters are still wary of you and continue to suffer from the effects of Disruptive.</p>	
distance-thrower-mythic	Distance Thrower (Mythic)	There's virtually no limit to your powerful throwing arm.	<p> Str 17, Distance Thrower.</p>	<p> Thrown weapons wielded by you have twice their normal range.</p>	
divine-interference-mythic	Divine Interference (Mythic)	Your divine power thwarts enemies of your faith.	<p> Divine Interference.</p>	<p> When you use Divine Interference, the penalty on your opponent's attack roll is equal to twice the level of the spell sacrificed. You can expend one use of mythic power when you sacrifice the spell to increase the penalty to triple the level of the spell sacrificed.</p>	
dodge-mythic	Dodge (Mythic)	When focused, you become nearly impossible to strike.	<p> Dodge.</p>	<p> The bonus to AC from Dodge increases by 1. As an immediate action, you can expend one use of mythic power to grant yourself an additional +10 dodge bonus to AC against one attack.</p>	
dreadful-carnage-mythic	Dreadful Carnage (Mythic)	Your kills are truly frightening to behold.	<p> Dreadful Carnage.</p>	<p> When you use Dreadful Carnage, you affect non-mythic enemies within 60 feet in addition to all enemies within 30 feet. You can expend one use of mythic power before making the Intimidate check to cause enemies demoralized by Dreadful Carnage to become frightened instead of shaken, for the same duration as the normal shaken effect. While frightened by this ability, an enemy takes a penalty equal to your tier on attack rolls, saving throws, skill checks, and ability checks.</p>	
drink-is-life-mythic	Drink Is Life (Mythic)	Strong drink fuels the mythic fires within you.	<p> Con 19, 3rd mythic tier.</p>	<p> You never take penalties for consuming nonmagical alcohol, and you can consume an alcoholic beverage as a swift action instead of a move action. Each time you consume an alcoholic beverage, you may gain one of the benefits of <i>polypurpose panacea </i>(<i>Pathfinder RPG Ultimate Magic </i>232). You can have only one of these benefits active at a time. If you expend one use of mythic power while drinking an alcoholic beverage, you can heal 2 points of ability damage, negate a temporary penalty to one ability score, or remove one of the following conditions: confused, diseased, exhausted, fatigued, frightened, nauseated, poisoned, shaken, sickened, or staggered.</p>	
dual-path-mythic	Dual Path (Mythic)	You follow two mythic paths.	<p> 1st mythic tier.</p>	<p> Select a mythic path other than the path you selected at your moment of ascension. You gain that path's 1st-tier ability (either archmage arcana, champion's strike, divine surge, guardian's call, marshal's order, or trickster attack). Each time you gain a path ability, you can select that path ability from either path's list or the list of universal path abilities.</p>	
eagle-eyes-mythic	Eagle Eyes (Mythic)	You eyesight rivals that of the most far-seeing raptors.	<p> Eagle Eyes.</p>	<p> You ignore up to -10 in penalties due to distance on visual Perception checks, instead of the normal -5. As a swift action, you can expend one use of mythic power to ignore all penalties due to distance on visual Perception checks for 1 round.</p>	
eldritch-heritage-mythic	Eldritch Heritage (Mythic)	The blood of your sorcerous ancestor mingles with your mythic power to great effect.	<p> Eldritch Heritage.</p>	<p> You gain sorcerer bloodline powers of the bloodline tied to Eldritch Heritage as if your sorcerer level were your character level - 2. For that bloodline's 1st-level bloodline power, use your full character level to determine its effect; for all other bloodline powers, treat your sorcerer level as your character level - 2.</p>	
elemental-channel-mythic	Elemental Channel (Mythic)	Your power over elemental beings is nearly absolute.	<p> Elemental Channel.</p>	<p> Your Elemental Channel can affect any elemental subtype, not just the one you chose when you took Elemental Channel. Each time you use Elemental Channel, you must pick one elemental subtype before using the feat. You can expend one use of mythic power when you use Elemental Channel to choose a second elemental subtype to affect.</p>	
elemental-fist-mythic	Elemental Fist (Mythic)	Your ability to channel elemental power through your unarmed attacks is ferociously potent.	<p> Elemental Fist.</p>	<p> The extra energy damage dealt by Elemental Fist increases to 1d8 points, and you gain additional uses of Elemental Fist per day equal to your tier. You can expend one use of mythic power as an immediate action to add the extra damage from your Elemental Fist to all of the unarmed strikes you make until the beginning of your next turn. This counts as only one use of Elemental Fist, regardless of the number of attacks that you make in this fashion.</p>	
elemental-focus-mythic	Elemental Focus (Mythic)	Your elemental spells are potent and effective.	<p> Elemental Focus.</p>	<p> Choose an energy type in which you already have Elemental Focus. The increase to save DC provided by Elemental Focus and Greater Elemental Focus for spells of the selected energy type is 1 higher. When casting a spell with this energy type's descriptor, you can expend one use of mythic power as part of the casting to force the spell's targets to roll their saving throws twice, taking the lower result.</p>	
elven-accuracy-mythic	Elven Accuracy (Mythic)	Your elven eyesight cuts though concealment.	<p> Elven Accuracy.</p>	<p> When you make an attack with a longbow or short bow (including composite bows), you can ignore concealment, but not total concealment. You still suffer a miss chance for total concealment, but if you miss due to total concealment, you may reroll your miss chance as per Elven Accuracy.</p>	
endurance-mythic	Endurance (Mythic)	You can sleep in heavy armor without becoming fatigued.	<p> Endurance.</p>	<p> The bonus on checks and saves from Endurance increases by half your tier. You take half the damage when you fail a check to avoid nonlethal damage from a forced march, starvation and thirst, hot or cold environments, or slow suffocation.</p>	
eschew-materials-mythic	Eschew Materials (Mythic)	You can cast even the most powerful spells without using material components.	<p> Eschew Materials.</p>	<p> You can cast any spell with a material component costing 10 gp per tier or less without providing that component. If you expend one use of mythic power while casting a spell that requires a material component costing 50 gp per tier or less, you can cast it without providing that component. Expending two uses of mythic power instead allows you to cast a spell that requires a material component costing 100 gp per tier or less without providing that component.</p>	
extra-mythic-power-mythic	Extra Mythic Power (Mythic)	You can store more mythic power than your tier would normally allow.		<p> You gain two extra uses of mythic power each day.</p>	
extra-path-ability-mythic	Extra Path Ability (Mythic)	You can call upon mythic powers beyond those already invested in you.	<p> 3rd mythic tier.</p>	<p> Choose one mythic ability from your path or from the universal path abilities that you meet the prerequisites for. You gain that path ability.</p>	
fabulous-figments-mythic	Fabulous Figments (Mythic)	Your illusions are astonishingly realistic.	<p> Spell Focus (illusion).</p>	<p> Non-mythic creatures can't identify your illusion spells with Spellcraft, including checks attempted as part of <i>arcane sight</i>, <i>detect magic</i>, or similar effects. When mythic creatures attempt to identify your illusions, add your tier to the DC of those Spellcraft checks. Mythic creatures informed by their allies that one of your illusions isn't real gain only a +2 bonus on their Will saves to disbelieve. Non-mythic creatures gain no bonus to disbelieve.</p>	
far-shot-mythic	Far Shot (Mythic)	You make long-ranged attacks with remarkable accuracy.	<p> Far Shot.</p>	<p> As a swift action, you can expend one use of mythic power to ignore all range increment penalties for your ranged attacks until the end of your turn.</p>	
fast-empathy-mythic	Fast Empathy (Mythic)	You can soothe the emotions of wild beasts with nearly supernatural quickness.	<p> Fast Empathy.</p>	<p> You can use wild empathy as a swift action.</p>	
fire-music-mythic	Fire Music (Mythic)	If you cast <i>summon monster</i> as a bard spell and choose to give the summoned creature a fiery appearance, increase its fire resistance by 5 (adding to the resistance already granted by Fire Music) and add 1d4 points of fire damage to all of its natural attacks instead of the +1 fire damage normally granted by Fire Music. Creatures with the fire subtype also gain these benefits.	<p> Fire Music.</p>	<p> When you use Fire Music to change any of the damage dealt by a bard spell to fire damage, that damage ignores fire resistance up to your tier.</p>	
fleet-mythic	Fleet (Mythic)	You're fantastically light on your feet.	<p> Fleet.</p>	<p> Your base land speed increases by 5 feet, regardless of what armor you wear or whether you're encumbered. This bonus stacks with the bonus gained from Fleet.</p>	<p> You can take this feat multiple times, but no more than the number of times you've taken non-mythic Fleet. The effects stack.</p>
furious-focus-mythic	Furious Focus (Mythic)	Your attacks create a rhythmic barrage that doesn't sacrifice precision for force.	<p> Furious Focus.</p>	<p> When you are using Furious Focus, you don't take Power Attack's penalty on attack rolls that are made as attacks of opportunity. As a free action, you can expend one use of mythic power to negate Power Attack's penalty on all melee attacks you make for 1 round while using this feat.</p>	
gnome-trickster-mythic	Gnome Trickster (Mythic)	You can use your gnome spell-like abilities an additional number of times per day equal to half your tier. You can spend these additional uses to use any of your gnome spell-like abilities you wish. Your caster level for your gnome spell-like abilities becomes your character level plus your tier.	<p> Gnome Trickster.</p>	<p> You gain the following spell-like abilities: 1/day--;<i>blur</i> and <i>vanish</i>.</p>	
gorgon's-fist-mythic	Gorgon's Fist (Mythic)	Your strikes debilitate and disorient your foes.	<p> Gorgon's Fist.</p>	<p> When you hit a creature while using Gorgon's Fist, if the target fails its Fortitude saving throw, it is dazed for 1 round instead of staggered. You can expend one use of mythic power when you hit with a Gorgon's Fist attack, but before the saving throw is attempted, to increase its DC by half your tier.</p>	
great-fortitude-mythic	Great Fortitude (Mythic)	Your fortitude is unmatched.	<p> Great Fortitude.</p>	<p> Whenever you roll a Fortitude saving throw against a spell, spell-like ability, or supernatural ability from a non-mythic source, roll twice and take the higher result.</p>	
guided-hand-mythic	Guided Hand (Mythic)	Attacks made with your deity's favored weapon are divinely inspired.	<p> Guided Hand.</p>	<p> When making attacks with your deity's favored weapon, you can add your Wisdom modifier instead of your Strength or Dexterity modifier on damage rolls.</p>	
heroic-defiance-mythic	Heroic Defiance (Mythic)	This effect is separate from the use of non-mythic Heroic Defiance.	<p> Heroic Defiance.</p>	<p> Once per day as an immediate action, you can attempt to negate the onset of one harmful condition or affliction (such as panicked, paralyzed, stunned, and so on) that allowed a saving throw for its onset, not including permanent and instantaneous conditions. When you do so, attempt a Will saving throw with a bonus equal to your tier against the original DC of the effect. If you succeed, the condition is negated. If you fail, the onset is delayed until the end of your next turn, after which it takes its normal effect. This feat has no effect on hit point damage or ability damage.</p>	
heroic-recovery-mythic	Heroic Recovery (Mythic)	You can shrug off the effects of harmful conditions after they've taken effect.	<p> Heroic Recovery.</p>	<p> As a swift action, you can expend one use of mythic power to use Heroic Recovery additional times. Whenever you do, add your tier to the result of the Fortitude save.</p>	
improved-bull-rush-mythic	Improved Bull Rush (Mythic)	Furthermore, you can make an attack of opportunity against any creature that attempts to bull rush you, unless it also has this feat.	<p> Improved Bull Rush.</p>	<p> You gain a bonus equal to half your tier on checks to bull rush, and to your CMD when an opponent bull rushes you. These bonuses stack with those granted by non-mythic Improved Bull Rush.</p>	
improved-channel-mythic	Improved Channel (Mythic)	As a divine conduit for energy, you're unmatched.	<p> Improved Channel.</p>	<p> Non-mythic creatures that take damage from your channel energy must roll their saving throws twice and take the lower result.</p>	
improved-counterspell-mythic	Improved Counterspell (Mythic)	Your innate understanding of magical mechanics allows you to unravel spells with pure magical energy.	<p> Improved Counterspell.</p>	<p> When counterspelling, you can use a spell of the same school that is the same or higher spell level as the target spell.</p>	
improved-critical-mythic	Improved Critical (Mythic)	Your critical strikes with your chosen weapon are deadlier than most.	<p> Improved Critical, base attack bonus +8.</p>	<p> Your critical multiplier with your chosen weapon is increased by 1 (to a maximum of x6).</p>	<p> You can gain this feat multiple times. The effects do not stack. Each time you take this feat, it applies to a different non-mythic Improved Critical feat.</p>
improved-dirty-trick-mythic	Improved Dirty Trick (Mythic)	Furthermore, you can make an attack of opportunity against any creature that attempts a dirty trick maneuver against you, unless it also has this feat.	<p> Improved Dirty Trick.</p>	<p> You gain a bonus equal to half your tier on checks to attempt a dirty trick, and to your CMD when an opponent attempts to perform a dirty trick on you. These bonuses stack with those granted by Improved Dirty Trick.</p>	
improved-disarm-mythic	Improved Disarm (Mythic)	Furthermore, you can make an attack of opportunity against any creature that attempts to disarm you, unless it also has this feat.	<p> Improved Disarm.</p>	<p> You gain a bonus equal to half your tier on checks to disarm, and to your CMD when an opponent tries to disarm you. These bonuses stack with those granted by Improved Disarm.</p>	
improved-drag-mythic	Improved Drag (Mythic)	Furthermore, you can make an attack of opportunity against any creature that attempts a drag maneuver against you, unless it also has this feat.	<p> Improved Drag.</p>	<p> You gain a bonus equal to half your tier on checks to attempt a drag combat maneuver, and to your CMD when an opponent attempts a drag combat maneuver against you. These bonuses stack with those granted by Improved Drag.</p>	
improved-familiar-mythic	Improved Familiar (Mythic)	Your familiar gains some of your incredible resiliency and insight.	<p> Improved Familiar.</p>	<p> For every 3 tiers you possess, your familiar gains a +2 bonus to an ability score of your choice. These bonuses stack. Your familiar adds your tier to its natural armor bonus and to its spell resistance (if it has spell resistance).</p>	
improved-grapple-mythic	Improved Grapple (Mythic)	Furthermore, you can make an attack of opportunity against any creature that attempts to grapple you, unless it also has this feat.	<p> Improved Grapple.</p>	<p> You gain a bonus equal to half your tier on checks to grapple, and to your CMD when an opponent tries to grapple you. These bonuses stack with those granted by Improved Grapple.</p>	
improved-initiative-mythic	Improved Initiative (Mythic)	You leap into the fray with speed and confidence.	<p> Improved Initiative.</p>	<p> The bonus on initiative checks granted by Improved Initiative increases by an amount equal to your tier. This bonus stacks with the bonus from Improved Initiative. In addition, instead of rolling initiative, you can expend one use of mythic power to treat your roll as a natural 20.</p>	
improved-overrun-mythic	Improved Overrun (Mythic)	Furthermore, you can make an attack of opportunity against any creature that attempts to overrun you, unless it also has this feat.	<p> Improved Overrun.</p>	<p> You gain a bonus equal to half your tier on checks to overrun, and to your CMD when an opponent tries to overrun you. These bonuses stack with those granted by Improved Overrun.</p>	
improved-reposition-mythic	Improved Reposition (Mythic)	Furthermore, you can make an attack of opportunity against any creature that attempts to reposition you, unless it also has this feat.	<p> Improved Reposition.</p>	<p> You gain a bonus equal to half your tier on checks to attempt a reposition combat maneuver, and to your CMD when an opponent attempts to perform a reposition combat maneuver against you. These bonuses stack with those granted by Improved Reposition.</p>	
improved-steal-mythic	Improved Steal (Mythic)	Furthermore, you can make an attack of opportunity against any creature that attempts a steal maneuver against, you unless it also has this feat.	<p> Improved Steal.</p>	<p> You gain a bonus equal to half your tier on checks to attempt a steal combat maneuver, and to your CMD when an opponent attempts a steal combat maneuver on you. These bonuses stack with those granted by Improved Steal.</p>	
improved-stonecunning-mythic	Improved Stonecunning (Mythic)	If you listen close, you can hear the secrets of stone.	<p> Improved Stonecunning.</p>	<p> You gain <i>stone tell</i> as a spell-like ability usable once per day with a caster level equal to twice your tier.</p>	
improved-sunder-mythic	Improved Sunder (Mythic)	Furthermore, you can make an attack of opportunity against any creature that attempts to sunder an object used by you, unless it also has this feat.	<p> Improved Sunder.</p>	<p> You gain a bonus equal to half your tier on checks to sunder, and to your CMD when an opponent tries to sunder an object used by you. These bonuses stack with those granted by Improved Sunder.</p>	
improved-trip-mythic	Improved Trip (Mythic)	Furthermore, you can make an attack of opportunity against any creature that attempts to trip you, unless it also has this feat.	<p> Improved Trip.</p>	<p> You gain a bonus equal to half your tier on checks to trip, and to your CMD when an opponent tries to trip you. These bonuses stack with those granted by Improved Trip.</p>	
improved-unarmed-strike-mythic	Improved Unarmed Strike (Mythic)	Your unarmed strikes are more powerful than others.	<p> Improved Unarmed Strike.</p>	<p> You can add half your tier to your damage with unarmed strikes. As a swift action, you can expend one use of mythic power to overcome the hardness of objects with your unarmed strikes. This effect last for a number of rounds equal to your tier. If an object's hardness is greater than 15, you don't ignore any of its hardness.</p>	
intimidating-prowess-mythic	Intimidating Prowess (Mythic)	Your mythic stature makes others uneasy.	<p> Intimidating Prowess.</p>	<p> You gain a bonus on Intimidate checks equal to your tier against non-mythic creatures, or half your tier against mythic creatures. If you also have the Persuasive (mythic) feat, you can expend one use of mythic power to treat the Intimidate check as if you had rolled a natural 20. You must decide to use this ability before the roll is made.</p>	
iron-will-mythic	Iron Will (Mythic)	Your will is incorruptible.	<p> Iron Will.</p>	<p> Whenever you roll a Will saving throw against a spell, spell-like ability, or supernatural ability from a non-mythic source, roll twice and take the higher result.</p>	
knockout-artist-mythic	Knockout Artist (Mythic)	Your knockout punches are truly mighty.	<p> Knockout Artist.</p>	<p> When you use your unarmed strike to deal nonlethal damage and sneak attack damage to an opponent, roll d8s for each sneak attack die instead of d6s.</p>	
legendary-teamwork-mythic	Legendary Teamwork (Mythic)	You and your allies fight with great coordination.	<p> Any two teamwork feats.</p>	<p> Any fixed numeric bonuses you gain from teamwork feats are increased by 1. This doesn't apply to variable numeric bonuses or to effects that are not numeric bonuses, such as additional attacks of opportunity, movement, or other extra actions.<span></span></p>	
lightning-reflexes-mythic	Lightning Reflexes (Mythic)	Your reflexes are superhuman.	<p> Lightning Reflexes.</p>	<p> Whenever you roll a Reflex saving throw against a spell, spell-like ability, or supernatural ability from a non-mythic source, roll twice and take the higher result.</p>	
lucky-halfling-mythic	Lucky Halfling (Mythic)	You share your mythic luck with those around you.	<p> Lucky Halfling.</p>	<p> When you use Lucky Halfling, add your tier as a bonus on the saving throw. You can expend one use of mythic power when an ally uses your save but still suffers an effect on a successful saving throw. If you do, that ally suffers no effect on the successful saving throw.</p>	
lucky-surge-mythic	Lucky Surge (Mythic)	Your surges defy the odds.	<p> Potent Surge, 3rd mythic tier.</p>	<p> Whenever you use your surge ability, you can roll your surge dice twice and take the higher result. If you can already roll your surge dice twice and take the higher result, you roll your surge dice three times and take the highest result.</p>	
